Entry,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Eumetazoa,Vertebrata,Mammalia,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A2A2Z9,0,0,0,0.125,0.125,0.125,0.125,0.5,Mammalia,8,1,1.386294361,8.722222222,5.555555556,FALSE
A2A368,0,0,0,0.444444444,0,0.222222222,0,0.333333333,Eukaryota,9,4,1.060856947,6.923076923,5.015873016,FALSE
A2A3K4,0.153846154,0,0,0.307692308,0.153846154,0.153846154,0.230769231,0,Eukaryota,13,0,1.56495725,4.897435897,-0.603174603,FALSE
A2A3L6,0.666666667,0,0.333333333,0,0,0,0,0,Cellular_organisms,3,10,0.636514168,4.076923077,0.452380952,FALSE
A2A3N6,0,0,0,1,0,0,0,0,Eukaryota,4,7,0,4.872727273,8.346666667,FALSE
A2AB90,0,0,0,0,0,0,1,0,Vertebrata,6,1,0,1.142857143,4,FALSE
A2ABS4,0,0,0,0,0,0,0,1,Mammalia,6,5,0,1.090909091,0.68,FALSE
A2ADX3,0,0,0,0,0,0,1,0,Vertebrata,4,1,0,0,,FALSE
A2AJT9,0,0,0,0,0,0.125,0.75,0.125,Vertebrata,8,5,0.73562194,1.41025641,0.400793651,FALSE
A2BFH1,0,0,0.75,0.125,0,0.125,0,0,Euk+Bac,8,1,0.73562194,5.222222222,11.44155844,TRUE
A2BGT6,0,0,0,0,0,0,0,1,Mammalia,5,0,0,1.6,0.25,FALSE
A2CJ06,0,0,0,0.090909091,0.181818182,0.272727273,0.272727273,0.181818182,Eumetazoa,11,2,1.546598686,4.615384615,0.936507937,FALSE
A2IDD5,0,0,0,0,0.333333333,0.666666667,0,0,Eumetazoa,6,7,0.636514168,2.333333333,0.98015873,FALSE
A2PYH4,0.111111111,0.444444444,0.111111111,0.333333333,0,0,0,0,Euk_Archaea,9,3,1.214889654,3.863636364,0.177777778,FALSE
A2RRD8,0,0,0,0.142857143,0,0,0,0.857142857,Mammalia,7,5,0.410116318,6.939393939,5.266666667,FALSE
A2RRH5,0,0,0.8,0,0,0.2,0,0,Euk+Bac,5,8,0.500402424,2.615384615,0.988095238,TRUE
A2RRL7,0,0,0,0,0,0,0,1,Mammalia,10,0,0,0,0,FALSE
A2RRP1,0,0,0,0.923076923,0,0.076923077,0,0,Eukaryota,13,0,0.271189373,0.923076923,0.166666667,FALSE
A2RTX5,0.636363636,0,0.090909091,0.090909091,0,0,0.181818182,0,Cellular_organisms,11,2,1.033562054,4.871794872,2.96031746,FALSE
A2RTY3,0,0,0,0,0,0.727272727,0,0.272727273,Eumetazoa,11,0,0.585952618,4.145454545,-0.246666667,FALSE
A2RU14,0,0,0,0,0,0.692307692,0.307692308,0,Eumetazoa,13,0,0.61724177,0.461538462,-0.071428571,FALSE
A2RU30,0,0,0,0,0,0.166666667,0.333333333,0.5,Mammalia,12,1,1.011404265,3.794871795,0.392857143,FALSE
A2RU37,0,0,0,0,0,0,0,1,Mammalia,8,1,0,2,0.5625,FALSE
A2RU48,0,0,0,0,0,0,1,0,Vertebrata,10,0,0,0,0,FALSE
A2RU49,1,0,0,0,0,0,0,0,Cellular_organisms,2,11,0,2.974358974,-0.305555556,FALSE
A2RU54,0,0,0,0.333333333,0,0.222222222,0.444444444,0,Vertebrata,9,4,1.060856947,3.666666667,1.496031746,FALSE
A2RU67,0,0,0,0,0,0.769230769,0.230769231,0,Eumetazoa,13,0,0.540204142,1.615384615,-0.146825397,FALSE
A2RUB1,0,0,0,0,0,0.636363636,0.363636364,0,Eumetazoa,11,0,0.655481774,2.872727273,-0.233333333,FALSE
A2RUB6,0,0,0,0,0,0.727272727,0.272727273,0,Eumetazoa,11,2,0.585952618,3.666666667,0.051587302,FALSE
A2RUC4,0,0,0.333333333,0.555555556,0,0.111111111,0,0,Eukaryota,9,4,0.936888308,2.538461538,1.206349206,FALSE
A2RUG3,0,0,0,0,0,0,1,0,Vertebrata,3,0,0,0,,FALSE
A2RUH7,0,0,0,0,0,0.666666667,0,0.333333333,Eumetazoa,6,6,0.636514168,5.454545455,3.033333333,FALSE
A2RUQ5,0,0,0,0,0,0,0,1,Mammalia,9,0,0,0,0,FALSE
A2RUR9,0,0,0,0.125,0,0.25,0.125,0.5,Mammalia,8,1,1.213007566,7.944444444,1.142857143,FALSE
A2RUS2,0,0,0,1,0,0,0,0,Eukaryota,4,9,0,2.358974359,-0.055555556,FALSE
A2RUT3,0,0,0,0,0,0,0,1,Mammalia,10,0,0,0,0,FALSE
A2RUU4,0,0,0,0,0,0.5,0,0.5,Mammalia,6,6,0.693147181,4.015151515,1.8,FALSE
A2VCK2,0,0,0,0.142857143,0.142857143,0.428571429,0,0.285714286,Eumetazoa,7,6,1.277034259,4.923076923,4.035714286,FALSE
A2VCL2,0,0,0,0,0.4,0.1,0,0.5,Mammalia,10,1,0.943348392,6.181818182,3.046666667,FALSE
A2VDF0,0,0,1,0,0,0,0,0,Euk+Bac,12,1,0,0,0,TRUE
A2VDJ0,0,0,0,0,0.2,0.2,0.6,0,Vertebrata,10,3,0.950270539,2.923076923,0.682539683,FALSE
A2VEC9,0,0,0,0,0,0.909090909,0.090909091,0,Eumetazoa,11,1,0.304636097,1.893939394,-0.133333333,FALSE
A3KFT3,0,0,0,0,0,0.142857143,0.285714286,0.571428571,Mammalia,7,5,0.955699891,4.363636364,4.333333333,FALSE
A3KMH1,0,0,0.307692308,0.615384615,0,0.076923077,0,0,Eukaryota,13,0,0.858740913,1.846153846,0.333333333,TRUE
A3KN83,0,0,0.384615385,0.307692308,0,0.307692308,0,0,Euk+Bac,13,0,1.092830554,3.846153846,0.178571429,TRUE
A3QJZ6,0,0,0,0,0,0.25,0,0.75,Mammalia,8,1,0.562335145,4.944444444,0,FALSE
A3QJZ7,0,0,0,0,0,0,0,1,Mammalia,1,0,0,None,,FALSE
A4D0S4,0,0,0,0.4,0.2,0,0.4,0,Vertebrata,5,7,1.054920168,4.439393939,2.333333333,FALSE
A4D0T2,0,0,0,0,0,0,0,1,Mammalia,9,0,0,0,0,FALSE
A4D0T7,0,0,0,0,0,0,0,1,Mammalia,2,1,0,6.666666667,10,FALSE
A4D0V7,0,0,0,0,0,0.615384615,0.384615385,0,Eumetazoa,13,0,0.666278442,2.974358974,-0.46031746,FALSE
A4D104,0,0,0,0,0,0.090909091,0.818181818,0.090909091,Vertebrata,11,0,0.600166073,1.272727273,0.206666667,FALSE
A4D126,0.307692308,0,0.461538462,0.076923077,0,0,0.153846154,0,Euk+Bac,13,0,1.20479331,3.41025641,0.865079365,TRUE
A4D161,0,0,0,0.230769231,0,0.769230769,0,0,Eumetazoa,13,0,0.540204142,1.923076923,-0.297619048,FALSE
A4D193,0,0,0,0,0,0,0,1,Mammalia,3,0,0,0,0,FALSE
A4D1B5,0,0,0,0,0,0.909090909,0.090909091,0,Eumetazoa,11,2,0.304636097,1.58974359,0.527777778,FALSE
A4D1E1,0,0,0,0.153846154,0.153846154,0.076923077,0.615384615,0,Vertebrata,13,0,1.072016969,4.128205128,0.341269841,FALSE
A4D1E9,0,0,0.307692308,0.384615385,0.230769231,0.076923077,0,0,Eukaryota,13,0,1.265856752,2.923076923,0.734126984,FALSE
A4D1F6,0.1,0,0.2,0.6,0,0.1,0,0,Eukaryota,10,2,1.088899975,4.484848485,1.133333333,TRUE
A4D1N5,0,0,0,0,0,0,0,1,Mammalia,9,0,0,0,0,FALSE
A4D1P6,0,0,0,1,0,0,0,0,Eukaryota,12,1,0,0.615384615,-0.095238095,FALSE
A4D1S0,0,0,0,0,0,1,0,0,Eumetazoa,2,10,0,3.696969697,0.3,FALSE
A4D1S5,0,0,0,0.5,0,0.5,0,0,Eumetazoa,4,9,0.693147181,4.282051282,2.174603175,FALSE
A4D1T9,0,0,0,0.25,0,0.5,0,0.25,Eumetazoa,4,8,1.039720771,5.590909091,3.466666667,FALSE
A4D1U4,0,0,0,0,1,0,0,0,Opisthokonta,11,0,0,0.181818182,0.04,FALSE
A4D1Z2,0,0,0,0,0,0,0,1,Mammalia,9,0,0,0,0,FALSE
A4D1Z8,0,0,0,0,0,0.2,0.8,0,Vertebrata,10,2,0.500402424,2.393939394,0.6,FALSE
A4D211,0,0,0,0,0.333333333,0.333333333,0,0.333333333,Mammalia,3,1,1.098612289,6.166666667,,FALSE
A4D226,0,0,0,0,0,0,0.333333333,0.666666667,Mammalia,9,2,0.636514168,4.690909091,5.446666667,FALSE
A4D256,0.125,0,0,0.75,0,0,0.125,0,Eukaryota,8,3,0.73562194,5.672727273,7.35978836,FALSE
A4D263,0,0,0,0,0,1,0,0,Eumetazoa,11,0,0,0,0,FALSE
A4D2B0,0.307692308,0.230769231,0,0,0,0.384615385,0.076923077,0,Eumetazoa,13,0,1.265856752,4.564102564,-0.293650794,FALSE
A4D2B8,0.4,0,0,0,0,0,0,0.6,Mammalia,5,6,0.673011667,10.14545455,5.84,FALSE
A4D2G3,0,0,0,0,0,0.142857143,0.142857143,0.714285714,Mammalia,7,5,0.79631164,2.287878788,0.711111111,FALSE
A4D2P6,0,0,0,0.333333333,0.083333333,0.583333333,0,0,Eumetazoa,12,0,0.887694276,3.287878788,0.344444444,FALSE
A4FU01,0,0,0,0.166666667,0.083333333,0.083333333,0.666666667,0,Vertebrata,12,1,0.983087759,3.846153846,2.19047619,FALSE
A4FU28,0,0.142857143,0,0.142857143,0,0.285714286,0.142857143,0.285714286,Mammalia,7,4,1.549826046,5.745454545,0.373015873,FALSE
A4FU49,0,0,0,0.666666667,0,0,0,0.333333333,Eukaryota,3,10,0.636514168,6.641025641,0.777777778,FALSE
A4FU69,0,0,0,0,0.25,0.666666667,0,0.083333333,Eumetazoa,12,1,0.823959217,2.58974359,0.166666667,FALSE
A4GXA9,0,0,0,0,0.166666667,0.333333333,0.416666667,0.083333333,Vertebrata,12,1,1.236684869,4.538461538,1,FALSE
A4IF30,0,0,0,0.384615385,0.307692308,0.076923077,0.230769231,0,Eukaryota,13,0,1.265856752,3.58974359,2.281746032,FALSE
A4QMS7,0,0,0,0,0,0.909090909,0.090909091,0,Eumetazoa,11,0,0.304636097,1.454545455,0.32,FALSE
A4QPB2,0,0,0,0.111111111,0.222222222,0.444444444,0,0.222222222,Eumetazoa,9,3,1.273028337,6.666666667,0.488888889,FALSE
A4QPH2,0,0,0,1,0,0,0,0,Eukaryota,6,5,0,3.381818182,1.58,FALSE
A4UGR9,0,0,0,0.083333333,0,0,0.916666667,0,Vertebrata,12,1,0.286835983,2.666666667,0,FALSE
A5A3E0,0,0,0,0.5,0.166666667,0.333333333,0,0,Eukaryota,6,1,1.011404265,3.714285714,,FALSE
A5D6W6,0,0,0,0,0.444444444,0.111111111,0.444444444,0,Opisthokonta,9,4,0.964962923,2.974358974,2.222222222,FALSE
A5D8T8,0,0,0,0.166666667,0.166666667,0,0.5,0.166666667,Vertebrata,6,1,1.242453325,7.428571429,2.618181818,FALSE
A5D8V6,0,0,0,0.333333333,0.111111111,0.111111111,0.444444444,0,Vertebrata,9,4,1.214889654,4.256410256,1.55952381,FALSE
A5D8V7,0,0,0,1,0,0,0,0,Eukaryota,7,6,0,1.153846154,-0.178571429,FALSE
A5D8W1,0,0,0,0,0.363636364,0.363636364,0.181818182,0.090909091,Opisthokonta,11,2,1.263654432,4.358974359,-0.055555556,FALSE
A5D8X1,0,0,0,0,0,0,1,0,Vertebrata,1,3,0,4.166666667,-1,FALSE
A5LHX3,0.3,0,0.1,0.2,0,0,0.4,0,Vertebrata,10,3,1.279854226,6.282051282,1.03968254,FALSE
A5PKW4,0,0,0,0.25,0.5,0,0.25,0,Opisthokonta,8,4,1.039720771,4.136363636,2.633333333,FALSE
A5PL33,0,0,0,0,0,0,0,1,Mammalia,11,1,0,2.666666667,0,FALSE
A5PLK6,0,0,0,0.090909091,0,0.818181818,0.090909091,0,Eumetazoa,11,0,0.600166073,2.509090909,-0.455026455,FALSE
A5PLL1,0,0,0,0,0,0.333333333,0.666666667,0,Vertebrata,12,1,0.636514168,2.641025641,1.654761905,FALSE
A5PLL7,0,0,0.923076923,0,0,0,0,0.076923077,Euk+Bac,13,0,0.271189373,2.461538462,0.444444444,TRUE
A5PLN7,0,0,0,0,0,0.6,0.3,0.1,Eumetazoa,10,3,0.897945725,2.205128205,0.484126984,FALSE
A5PLN9,0,0,0,1,0,0,0,0,Eukaryota,12,1,0,0,0,FALSE
A5X5Y0,0,0,0,0,0,0.5,0.333333333,0.166666667,Eumetazoa,6,7,1.011404265,4.820512821,0.956349206,FALSE
A5YKK6,0,0,0,1,0,0,0,0,Eukaryota,12,1,0,0.153846154,0.027777778,FALSE
A5YM69,0,0,0,0,0,0,0,1,Mammalia,2,0,0,4,,FALSE
A5YM72,0.076923077,0,0.538461538,0,0,0,0.384615385,0,Euk+Bac,13,0,0.898137003,6.615384615,-0.25,TRUE
A6BM72,0,0,0,0.625,0.25,0,0.125,0,Eukaryota,8,5,0.900256051,4.948717949,1.297619048,FALSE
A6H8M9,0,0,0,0,0,0.4,0,0.6,Mammalia,5,1,0.673011667,3.933333333,-0.2,FALSE
A6H8Y1,0,0,0,0.666666667,0,0.333333333,0,0,Eukaryota,9,4,0.636514168,6.358974359,0.357142857,FALSE
A6H8Z2,0,0,0,0.461538462,0,0.307692308,0,0.230769231,Eukaryota,13,0,1.057905425,6.307692308,1.654761905,FALSE
A6NC05,0,0,0,0.454545455,0,0.545454545,0,0,Eumetazoa,11,0,0.689009238,2.363636364,-0.36,FALSE
A6NC42,0,0,0,0,0,0,0,1,Mammalia,12,0,0,0,0,FALSE
A6NC51,0,0,0,0.25,0,0.25,0.5,0,Vertebrata,12,1,1.039720771,4.076923077,2.257936508,FALSE
A6NC57,0,0,0,0.181818182,0.090909091,0.090909091,0.181818182,0.454545455,Mammalia,11,1,1.414279065,8.227272727,4.633333333,FALSE
A6NC78,0,0,0,0,0,0.142857143,0.142857143,0.714285714,Mammalia,7,2,0.79631164,9.055555556,0.666666667,FALSE
A6NC86,0,0,0,0,0,0.083333333,0.666666667,0.25,Vertebrata,12,0,0.823959217,1.939393939,-0.111111111,FALSE
A6NC97,0,0,0,0.666666667,0,0,0,0.333333333,Eukaryota,12,1,0.636514168,6.205128205,7.80952381,FALSE
A6NC98,0,0,1,0,0,0,0,0,Euk+Bac,1,12,0,5.717948718,3.757936508,FALSE
A6NCC3,0,0,0,0.2,0,0,0.2,0.6,Mammalia,5,1,0.950270539,10.26666667,-2.2,FALSE
A6NCD4,0,0,0,0.083333333,0,0,0,0.916666667,Mammalia,12,1,0.286835983,3.923076923,0.063492063,FALSE
A6NCE7,0,0,0,0.555555556,0.111111111,0.222222222,0,0.111111111,Eukaryota,9,0,1.149059697,4.888888889,-1.454545455,FALSE
A6NCF5,0,0,0,0.25,0.166666667,0,0.416666667,0.166666667,Vertebrata,12,1,1.308605387,5.871794872,2.238095238,FALSE
A6NCF6,0,0,0,0.444444444,0,0.111111111,0,0.444444444,Mammalia,9,4,0.964962923,6.615384615,7.023809524,FALSE
A6NCI4,0,0,0,0,0.5,0.5,0,0,Opisthokonta,12,1,0.693147181,2.282051282,-0.353174603,FALSE
A6NCI5,0,0,0,0,0,0,0,1,Mammalia,9,0,0,0,0,FALSE
A6NCI8,0,0,0,0,0,0,0,1,Mammalia,12,0,0,0.166666667,0,FALSE
A6NCJ1,0,0,0,0,0,0,0,1,Mammalia,12,0,0,0.166666667,0,FALSE
A6NCK2,0,0,0,0.333333333,0,0,0,0.666666667,Mammalia,6,3,0.636514168,8,3.2625,FALSE
A6NCL1,0,0,0,0,0,0,1,0,Vertebrata,11,0,0,0.181818182,-0.033333333,FALSE
A6NCL2,0,0,0,0,0,0,0,1,Mammalia,10,0,0,0,0,FALSE
A6NCL7,0,0,0,1,0,0,0,0,Eukaryota,2,11,0,3.794871795,1.682539683,FALSE
A6NCM1,0,0,0,0.777777778,0,0,0,0.222222222,Eukaryota,9,3,0.529706199,6.606060606,6,FALSE
A6NCN2,0,0,0,0.285714286,0,0,0.285714286,0.428571429,Mammalia,7,1,1.078992208,7.928571429,5.958333333,FALSE
A6NCN8,0,0,0,0,0,0.727272727,0,0.272727273,Eumetazoa,11,0,0.585952618,2.690909091,1.926666667,FALSE
A6NCQ9,0,0,0,0.090909091,0,0,0.909090909,0,Vertebrata,11,2,0.304636097,2.897435897,-0.396825397,FALSE
A6NCS4,0,0,0,0,0.083333333,0.5,0.166666667,0.25,Eumetazoa,12,1,1.198849313,5,3.198412698,FALSE
A6NCS6,0,0,0,0,0,0,0,1,Mammalia,10,0,0,0.355555556,0.1,FALSE
A6NCV1,0,0,0,0,0,0.222222222,0.333333333,0.444444444,Mammalia,9,3,1.060856947,2.651515152,1.988888889,FALSE
A6NCW0,0,0,0,1,0,0,0,0,Eukaryota,5,3,0,5.035714286,9.5625,FALSE
A6NCW3,0,0,0,0,0,0,0,1,Mammalia,1,0,0,None,,FALSE
A6NCW7,0,0,0,1,0,0,0,0,Eukaryota,4,2,0,5.6,13.2,FALSE
A6ND01,0,0,0,0,0,0.777777778,0,0.222222222,Eumetazoa,9,4,0.529706199,4.435897436,5.091269841,FALSE
A6ND36,0,0,0,0,0,0,1,0,Vertebrata,13,0,0,0.897435897,0.222222222,FALSE
